iteration,gas,gasPrice,latency_ms,status,error
1,408186,25000000,3733.76,success,
2,408186,25000000,3344.63,success,
3,408186,25000000,3259.48,success,
4,408186,25000000,4186.15,success,
5,408186,25000000,2531.15,success,
6,408186,25000000,2549.08,success,
7,408186,25000000,2691.43,success,
8,408186,25000000,4072.99,success,
9,408186,25000000,3324.67,success,
10,408186,25000000,2629.73,success,
11,408186,25000000,2797.00,success,
12,408186,25000000,4404.48,success,
13,408186,25000000,3161.19,success,
14,408186,25000000,3207.30,success,
15,408186,25000000,4381.35,success,
16,408186,25000000,3788.95,success,
17,408186,25000000,2578.73,success,
18,408260,25000000,2604.15,success,
19,408260,25000000,4435.97,success,
20,408260,25000000,3200.14,success,
21,408186,25000000,2980.35,success,
22,408186,25000000,2473.27,success,
23,408186,25000000,3471.73,success,
24,408186,25000000,2955.16,success,
25,408186,25000000,3087.56,success,
26,408186,25000000,3035.20,success,
27,408186,25000000,2750.11,success,
28,408186,25000000,2471.44,success,
29,408186,25000000,2935.43,success,
30,408186,25000000,2929.92,success,
31,408186,25000000,3097.93,success,
32,408186,25000000,2506.92,success,
33,408186,25000000,3174.02,success,
34,408186,25000000,3723.67,success,
35,408186,25000000,3662.69,success,
36,408186,25000000,4361.77,success,
37,408186,25000000,2523.96,success,
38,408186,25000000,2962.58,success,
39,408186,25000000,2483.24,success,
40,408186,25000000,3482.50,success,
41,408186,25000000,2678.00,success,
42,408186,25000000,3795.55,success,
43,408186,25000000,2523.91,success,
44,408186,25000000,2501.48,success,
45,408186,25000000,2488.46,success,
46,408186,25000000,2572.29,success,
47,408186,25000000,3962.23,success,
48,408186,25000000,2966.38,success,
49,408186,25000000,2923.74,success,
50,408186,25000000,2616.24,success,
