iteration,gas,gasPrice,latency_ms,status,error
1,238750,44190038892,21498.2681,success,
2,238750,36389910336,12198.2678,success,
3,238750,42356720735,14655.6704,success,
4,238750,43377265720,12821.80286,success,
5,238750,38532493848,14997.68723,success,
6,238750,59910859116,8133.773773,success,
7,238750,42167679318,9031.887094,success,
8,238750,64177869431,24653.56764,success,
9,238750,46174630738,9611.166856,success,
10,238750,57707837044,17176.77775,success,
11,,,,failed,transaction receipt timeout
12,238750,46850971847,10534.71461,success,
13,,,,failed,transaction receipt timeout
14,,,,failed,transaction receipt timeout
15,238750,50591213410,19355.68788,success,
16,238750,47463973695,13588.21964,success,
17,238750,46890044408,8594.520958,success,
18,238750,49476934393,14137.06255,success,
19,238750,50793461874,12692.36391,success,
20,238750,49054861302,20532.57909,success,
21,238750,48492354412,17227.78204,success,
22,238750,44231430816,15469.42197,success,
23,238750,47664923709,17051.47131,success,
24,238750,56853451964,25934.84154,success,
25,238750,44003185347,17398.23276,success,
26,238750,54751286242,9906.94264,success,
27,238750,50840788719,16782.74613,success,
28,238750,53300911649,6746.070065,success,
29,238750,42092631236,17741.10169,success,
30,238750,49650444624,13111.37596,success,
31,238750,46593058478,15731.33399,success,
32,238750,46814124420,14951.55866,success,
33,238750,56293205851,16231.81256,success,
34,238750,46897323545,2635.707795,success,
35,238750,49827966943,16351.56211,success,
36,238750,38538030196,13609.42709,success,
37,238750,57700426178,17108.97742,success,
38,238750,52951054075,7799.692975,success,
39,238750,47862716098,13826.37388,success,
40,238750,46360491052,10204.50745,success,
41,238750,51404603831,21969.22297,success,
42,238750,54675765389,24130.55803,success,
43,238750,57791639894,17664.43339,success,
44,238750,52753934972,17663.96579,success,
45,238750,48566001987,13986.14523,success,
46,238750,53642711640,11981.88088,success,
47,,,,failed,transaction receipt timeout
48,,,,failed,transaction receipt timeout
49,238750,52502926883,9577.481884,success,
50,238750,54641859014,14515.74471,success,
