iteration,gas,gasPrice,latency_ms,status,error
1,9130010,31640625,9652.673789,success,
2,9129554,31640625,10007.45672,success,
3,9129615,31640625,10108.56815,success,
4,9130942,31640625,9667.180839,success,
5,9128299,31640625,9352.706974,success,
6,9131773,31640625,10678.4685,success,
7,9128632,31640625,9670.365367,success,
8,9129788,31640625,9717.758012,success,
9,9129209,31640625,9778.038079,success,
10,9130355,31640625,10162.78057,success,
11,9130477,31640625,9125.79719,success,
12,9130108,31640625,10899.34249,success,
13,9129889,31640625,9704.337419,success,
14,9128777,31640625,10180.62838,success,
15,9129715,31640625,9955.195351,success,
16,9129866,31640625,10796.91251,success,
17,9129215,31640625,10706.94381,success,
18,9130212,31640625,10166.62958,success,
19,9130112,31640625,9438.476376,success,
20,9129761,31640625,10479.25942,success,
21,9129976,31640625,9027.018675,success,
22,9129748,31640625,9421.788453,success,
23,9128794,31640625,9832.206115,success,
24,9130325,31640625,9065.17083,success,
25,9128193,31640625,9611.640652,success,
26,9130179,31640625,10265.42202,success,
27,9129066,31640625,9516.062588,success,
28,9130233,31640625,10290.90395,success,
29,9130282,31640625,11064.30114,success,
30,9129871,31640625,10066.85157,success,
31,9130426,31640625,10281.38793,success,
32,9129623,31640625,10498.8625,success,
33,9129653,31640625,9655.296264,success,
34,9131037,31640625,10268.40086,success,
35,9129691,31640625,9643.579753,success,
36,9129816,31640625,10030.03861,success,
37,9128412,31640625,10349.02683,success,
38,9129440,31640625,9459.647477,success,
39,9129313,31640625,8712.821994,success,
40,9129847,31640625,9415.421942,success,
41,9129816,31640625,10429.48295,success,
42,9129948,31640625,9357.59314,success,
43,9129305,31640625,10397.58681,success,
44,9130379,31640625,9417.712558,success,
45,9130441,31640625,9762.231942,success,
46,9130479,31640625,9866.176604,success,
47,9129980,31640625,9355.460943,success,
48,9129137,31640625,9767.654993,success,
49,9130468,31640625,9091.261026,success,
50,9129272,31640625,9697.523809,success,
