iteration,gas,gasPrice,latency_ms,status,error
1,9177199,31640625,10259.00,success,
2,9131201,31640625,10207.00,success,
3,9129988,31640625,10329.00,success,
4,9129982,31640625,9861.00,success,
5,9129988,31640625,10648.00,success,
6,9053035,31640625,10016.00,success,
7,9164754,31640625,10080.00,success,
8,9078712,31640625,10620.00,success,
9,9164725,31640625,10284.00,success,
10,9221821,31640625,10428.00,success,
11,9115204,31640625,10032.00,success,
12,9210116,31640625,9640.00,success,
13,9036556,31640625,10064.00,success,
14,9075765,31640625,10580.00,success,
15,9054384,31640625,10980.00,success,
16,9164369,31640625,9520.00,success,
17,9210350,31640625,9760.00,success,
18,9102694,31640625,9840.00,success,
19,9263965,31640625,10308.00,success,
20,9090983,31640625,10144.00,success,
21,9173821,31640625,9680.00,success,
22,9182042,31640625,10356.00,success,
23,9157774,31640625,9960.00,success,
24,9080927,31640625,9600.00,success,
25,9080767,31640625,9800.00,success,
26,9147492,31640625,10128.00,success,
27,9160388,31640625,10820.00,success,
28,9093902,31640625,10380.00,success,
29,9188947,31640625,10740.00,success,
30,9081430,31640625,10700.00,success,
31,9085745,31640625,10404.00,success,
32,9260811,31640625,10000.00,success,
33,9180970,31640625,10048.00,success,
34,9107630,31640625,10476.00,success,
35,9170532,31640625,10860.00,success,
36,9104106,31640625,10500.00,success,
37,9159870,31640625,10780.00,success,
38,9087639,31640625,10236.00,success,
39,9116181,31640625,9560.00,success,
40,9171158,31640625,10452.00,success,
41,9147292,31640625,10940.00,success,
42,9068434,31640625,10900.00,success,
43,9096754,31640625,9720.00,success,
44,9141077,31640625,10160.00,success,
45,9254825,31640625,10192.00,success,
46,9181232,31640625,10540.00,success,
47,9179676,31640625,10096.00,success,
48,9167053,31640625,10176.00,success,
49,9102851,31640625,10112.00,success,
50,9146463,31640625,9920.00,success,
