iteration,gas,gasPrice,latency_ms,status,error
1,238750,5438141,17948.00,success,
2,238750,2013748,36126.00,success,
3,238750,2204614,36573.00,success,
4,238750,5837773,12638.00,success,
5,,,,failed,transaction receipt timeout
6,238750,2287357,17356.00,success,
7,,,,failed,transaction receipt timeout
8,238750,3204063,12875.00,success,
9,238750,3662629,18525.00,success,
10,238750,2949891,11700.00,success,
11,238750,3197669,19625.00,success,
12,238750,3770616,7500.00,success,
13,238750,3049018,13225.00,success,
14,238750,4020739,14625.00,success,
15,238750,3803536,20175.00,success,
16,238750,3483467,6300.00,success,
17,,,,failed,transaction receipt timeout
18,238750,3610601,13575.00,success,
19,238750,3187990,8100.00,success,
20,238750,4224785,10500.00,success,
21,,,,failed,transaction receipt timeout
22,,,,failed,transaction receipt timeout
23,238750,3158373,11100.00,success,
24,238750,3634636,15775.00,success,
25,238750,3149429,23812.50,success,
26,,,,failed,transaction receipt timeout
27,238750,3264620,19075.00,success,
28,238750,4132577,16325.00,success,
29,,,,failed,transaction receipt timeout
30,238750,3160074,22687.50,success,
31,238750,4390341,16875.00,success,
32,,,,failed,transaction receipt timeout
33,238750,2546346,15325.00,success,
34,238750,3091976,6900.00,success,
35,238750,3916441,9900.00,success,
36,238750,3273854,8700.00,success,
37,238750,3408918,12175.00,success,
38,238750,5086359,21562.50,success,
39,238750,3179365,22312.50,success,
40,238750,3350889,14275.00,success,
41,,,,failed,transaction receipt timeout
42,,,,failed,transaction receipt timeout
43,238750,4571016,13925.00,success,
44,238750,2772146,21187.50,success,
45,238750,4186240,23437.50,success,
46,238750,4413069,23062.50,success,
47,238750,4157911,20725.00,success,
48,238750,3072973,21937.50,success,
49,238750,3048514,14975.00,success,
50,238750,3340360,9300.00,success,
