artifact,kind,source,campaign_id,commit,baseline_tag,protocol_version,image_manifest,image_config,sha256
csi/README.md,hand-written,-,campaign-20260925T060607Z,dc13ddd3e4561e5d69fe372fe3cb2d550bfb2b81,rerun-baseline-20260925,v3,sha256:257d9d8a106dcb9efc1768136119106e88e314d6779be543bdbe49e3b267e5a5,sha256:3f3ad4add97c954e9492e621f9844671c0ccf0ae51495c1fef0d09af0d2d32ab,3234e00b0efae87b792a958691157e00f541bb97f0e713ea0a04c01da2acaecb
csi/campaign-index.csv,hand-written,-,campaign-20260925T060607Z,dc13ddd3e4561e5d69fe372fe3cb2d550bfb2b81,rerun-baseline-20260925,v3,sha256:257d9d8a106dcb9efc1768136119106e88e314d6779be543bdbe49e3b267e5a5,sha256:3f3ad4add97c954e9492e621f9844671c0ccf0ae51495c1fef0d09af0d2d32ab,7d40cf23a24a0de26f20f5655b5a2eb9dd6852b80fe55b5dfaa6ea40c2c2c4fa
csi/campaigns/chain/CSI-CHAIN-LOCAL-01/SOURCE.sha256,generated,results/chain-local-l1-20260925,full-71a5854-20260925T115726Z,71a58545a6bc6873499928154827d7075bdb3440,chain-l1-baseline-20260925,v1,-,-,51e9db74a7a9f6d8f964bc2db399e1bbcc387113c1077118be1d12121f100c16
csi/campaigns/chain/CSI-CHAIN-LOCAL-01/VALIDATION.md,generated,chainbench/workloads/zcorp/record_campaign.py,full-71a5854-20260925T115726Z,71a58545a6bc6873499928154827d7075bdb3440,chain-l1-baseline-20260925,v1,-,-,701ca9d60f09ce4584237434ab273dcc2eff7e9aad0b385fe17da95f2367e59d
csi/campaigns/chain/CSI-CHAIN-LOCAL-01/campaign.json,generated,chainbench/workloads/zcorp/record_campaign.py,full-71a5854-20260925T115726Z,71a58545a6bc6873499928154827d7075bdb3440,chain-l1-baseline-20260925,v1,-,-,c94ebdf748c9e533c95bd5e574ac772d551e19b7127b43ec92fc66734d138b05
csi/campaigns/chain/CSI-CHAIN-LOCAL-01/derived/derivation.json,generated,scripts/analysis/derive_chain_l1.py <- results/chain-local-l1-20260925,full-71a5854-20260925T115726Z,71a58545a6bc6873499928154827d7075bdb3440,chain-l1-baseline-20260925,v1,-,-,1bd0db9888bc8fedef95a651c13224dc9840161e2d0629f240010359746db727
csi/campaigns/chain/CSI-CHAIN-LOCAL-01/derived/l1_backend_comparison.csv,generated,scripts/analysis/derive_chain_l1.py <- results/chain-local-l1-20260925,full-71a5854-20260925T115726Z,71a58545a6bc6873499928154827d7075bdb3440,chain-l1-baseline-20260925,v1,-,-,3a2662e691dd546adb367c1541092afcc81cdb99fd2d9b18a8e3b74a8c7b8fff
csi/campaigns/chain/CSI-CHAIN-LOCAL-01/derived/l1_bridge_vs_july.csv,generated,scripts/analysis/derive_chain_l1.py <- results/chain-local-l1-20260925,full-71a5854-20260925T115726Z,71a58545a6bc6873499928154827d7075bdb3440,chain-l1-baseline-20260925,v1,-,-,ebbb14443d940c75bba0367ce9a81b8c68156ed3aca98f6126866ba3c3cf1cf2
csi/campaigns/chain/CSI-CHAIN-LOCAL-01/derived/l1_cells.csv,generated,scripts/analysis/derive_chain_l1.py <- results/chain-local-l1-20260925,full-71a5854-20260925T115726Z,71a58545a6bc6873499928154827d7075bdb3440,chain-l1-baseline-20260925,v1,-,-,81dbef4664d8af153749dc56582ed18e0b4b749cf6a5c73247ce41cd14b102d8
csi/campaigns/chain/CSI-CHAIN-LOCAL-01/derived/l1_compile_sizes.csv,generated,scripts/analysis/derive_chain_l1.py <- results/chain-local-l1-20260925,full-71a5854-20260925T115726Z,71a58545a6bc6873499928154827d7075bdb3440,chain-l1-baseline-20260925,v1,-,-,a7e03b56a61f8859b80bfd3635a3baa40098c824bece663d1b99b1df15c61afe
